filename,V0_LAT,V0_LON,V1_LAT,V1_LON,V2_LAT,V2_LON,V3_LAT,V3_LON,Al,Si,Fe,Mg,Ca
sample_1,18.5049,-128.731,17.1458,-128.745,17.1347,-127.74,18.4937,-127.718,16.202140667022537,48.964989894507156,12.088611285255128,9.60996957014573,14.073114722651784
sample_2,-56.32075120491781,89.53936973822414,-54.18491949816574,70.47413664877476,-24.91303959754974,169.67345169910084,44.6589407978214,-3.6144958489902876,11.781990270051839,41.292057459018814,13.165730214848562,5.988035473970133,10.053355188886867
sample_3,-76.45977505527625,6.288613330239656,-78.61294656667803,-118.61462867118675,23.281997910102987,94.1429781760391,-68.35575599449658,-135.02358910523918,14.344573380930733,48.12979950648415,10.918146879937263,13.260636593986346,14.209522083462186
sample_4,-43.9815406083026,-138.42464730847865,31.236433483331822,164.1363204276081,-65.49152832696744,-123.84657646464325,-65.26457591084348,-161.0626923288675,18.65131201211318,42.366946730161565,14.131335859994225,7.894778589845836,13.915929759685117
sample_5,-10.638791903001007,-31.008001591561822,33.685707146834076,-33.349581557968236,83.51432884302753,-51.84074195093217,57.65763693580624,-93.869932972277,14.484803508779557,44.17898711757053,16.48069107799529,6.1750784644016745,13.71696968809489
sample_6,86.66469600430611,-176.85874087428328,29.915911710281364,81.72004574371078,-5.902027600083969,149.91163497133078,4.6163597265749985,176.83645051022722,10.301231954844397,49.06302595429571,15.494141615946395,7.00090955323669,10.286730871162309
sample_7,53.01675135165314,-4.598876078979345,21.903432783329492,-142.50023522051796,87.2802051602772,83.73277740571046,-46.47360985698247,-21.92953812531684,18.417153404114405,43.21268716779466,17.170344865061146,11.96879354182592,13.73511298316238
sample_8,-31.254752779510603,-133.29671719985814,-62.684164680734234,-24.40303133872993,-11.970676188184484,112.11935941369865,65.45407713576725,-141.25980665114116,10.915577891610402,43.37508983367432,15.185758771224041,12.910137703767276,14.111842500246736
sample_9,80.41768093673622,-129.3084056602099,-62.33174907315875,50.99507080729373,21.504974171311545,-31.90741793982903,-71.06069393503536,-155.23204637825444,13.134695510844807,44.98383585123874,14.840806734399283,11.06915768094024,12.998498660421923
sample_10,-2.3556987779337106,32.97284448697832,29.054679663699915,112.02134999666055,-34.92053041261522,116.9696883201508,-14.591110374072983,-162.00009981141744,14.210721194068189,46.372686406526704,14.840133517752705,13.573143405709788,10.583205464842957
